# Time-averaged data for fix 5
# TimeStep v_V v_a v_b v_c
10000 34809.1 30.486 34.2103 33.4323
20000 34814.4 30.4922 34.2122 33.4287
30000 34807.1 30.4902 34.2134 33.424
40000 34810.5 30.5008 34.2134 33.4142
50000 34823.2 30.494 34.2056 33.4414
60000 34807.4 30.4947 34.2099 33.4217
70000 34807 30.4957 34.211 33.4189
80000 34793.2 30.4752 34.2152 33.4266
90000 34795.8 30.4813 34.2129 33.4229
100000 34807.5 30.4836 34.2144 33.4296
110000 34805.4 30.4862 34.2135 33.4257
120000 34823.3 30.4951 34.2137 33.4308
130000 34817.6 30.4977 34.2136 33.4235
140000 34786.1 30.4876 34.2052 33.4155
150000 34808.8 30.4932 34.2076 33.4269
160000 34815.9 30.4968 34.2063 33.4306
170000 34817.6 30.4947 34.2088 33.4323
180000 34837.2 30.4971 34.2074 33.4488
190000 34815.3 30.4946 34.2034 33.435
200000 34796.4 30.4852 34.2029 33.4295
210000 34806.2 30.5015 34.203 33.419
220000 34815.4 30.4989 34.2119 33.422
230000 34826.3 30.4949 34.2078 33.4408
240000 34813.8 30.5016 34.206 33.4237
250000 34804.2 30.4911 34.2169 33.4157
260000 34799.9 30.4932 34.2151 33.4116
270000 34803.1 30.505 34.211 33.4047
280000 34784.9 30.4911 34.2008 33.4153
290000 34809.2 30.493 34.2011 33.4341
300000 34813.4 30.5026 34.205 33.4227
310000 34800.7 30.4964 34.2053 33.4189
320000 34778.4 30.4918 34.2164 33.3922
330000 34801.8 30.4902 34.2113 33.4202
340000 34821.4 30.5032 34.2057 33.4282
350000 34824.6 30.5021 34.2025 33.4348
360000 34834.4 30.5026 34.202 33.444
370000 34807.5 30.501 34.2076 33.4164
380000 34817.6 30.5003 34.2047 33.4292
390000 34836.3 30.5014 34.2207 33.4294
400000 34830.1 30.5002 34.2199 33.4264
410000 34809.8 30.5012 34.2058 33.4209
420000 34824.1 30.493 34.2128 33.4364
430000 34820.2 30.5036 34.2042 33.4279
440000 34822.2 30.4983 34.2071 33.4329
450000 34825.6 30.506 34.2041 33.4305
460000 34827.9 30.503 34.2015 33.4399
470000 34827.1 30.5027 34.2055 33.4349
480000 34819.1 30.5055 34.203 33.4276
490000 34816.4 30.5029 34.2144 33.4163
500000 34831.9 30.5055 34.2087 33.432
510000 34810.2 30.5033 34.2094 33.4141
520000 34797.3 30.501 34.2033 33.411
530000 34806.4 30.4917 34.2014 33.4318
540000 34806.2 30.4954 34.2097 33.4196
550000 34804.6 30.4982 34.2078 33.4167
560000 34813.4 30.4915 34.2053 33.4344
570000 34821.7 30.4939 34.2078 33.437
580000 34803 30.4943 34.2115 33.416
590000 34799 30.4944 34.21 33.4135
600000 34805.5 30.493 34.2056 33.4259
610000 34794.7 30.4956 34.205 33.4139
620000 34792.3 30.4962 34.2077 33.4083
630000 34811.2 30.4931 34.2068 33.4302
640000 34807.5 30.501 34.2135 33.4111
650000 34811.6 30.5045 34.2061 33.4182
660000 34830.2 30.499 34.2105 33.4367
670000 34800.2 30.4965 34.2091 33.4134
680000 34806.4 30.5 34.2081 33.4163
690000 34803.4 30.4962 34.2019 33.4236
700000 34811.4 30.5037 34.2044 33.4197
710000 34795.1 30.4922 34.2116 33.4115
720000 34804.1 30.5016 34.2068 33.414
730000 34795.2 30.4787 34.2142 33.4255
740000 34810.4 30.5014 34.2096 33.4165
750000 34811.4 30.5061 34.2038 33.4175
760000 34835.8 30.5019 34.2094 33.4397
770000 34805.7 30.4918 34.214 33.4193
780000 34822.2 30.4961 34.2149 33.4291
790000 34830.1 30.4939 34.2127 33.4412
800000 34792.8 30.4965 34.2047 33.4109
810000 34811.8 30.4964 34.2067 33.4272
820000 34801.7 30.4781 34.2117 33.4342
830000 34796.3 30.4966 34.2105 33.4088
840000 34796.6 30.4901 34.2164 33.4116
850000 34815.3 30.4914 34.2215 33.4219
860000 34811 30.4956 34.2128 33.421
870000 34803.9 30.4974 34.2136 33.4115
880000 34830.2 30.4869 34.2203 33.4419
890000 34792.4 30.4902 34.2099 33.4129
900000 34795.4 30.4978 34.2068 33.41
910000 34788.3 30.493 34.2083 33.4075
920000 34775.7 30.4992 34.212 33.3849
930000 34793.5 30.4914 34.2107 33.4117
940000 34800.5 30.489 34.2148 33.4173
950000 34804.5 30.5038 34.2117 33.4067
960000 34804.8 30.5003 34.2114 33.4114
970000 34816.2 30.495 34.2133 33.4261
980000 34807.8 30.4973 34.2147 33.415
990000 34792.1 30.4964 34.2146 33.4015
1000000 34799.1 30.4938 34.2092 33.4158
