# Time-averaged data for fix 5
# TimeStep v_V v_a v_b v_c
10000 35861.1 30.7366 34.0501 34.2804
20000 35782.7 30.6847 34.0536 34.2606
30000 35641 30.679 34.0776 34.1133
40000 35647.7 30.6504 34.0955 34.1346
50000 35670.5 30.7145 34.0822 34.0946
60000 35758.6 30.7472 34.0735 34.1465
70000 35753.3 30.707 34.0805 34.1819
80000 35719.9 30.6812 34.0537 34.2068
90000 35747.5 30.7103 34.0707 34.1832
100000 35840.8 30.6988 34.0609 34.2913
110000 35808.5 30.6977 34.0289 34.294
120000 35827.8 30.7234 34.0745 34.238
130000 35892.9 30.7414 34.0659 34.2872
140000 35800.4 30.7338 34.0623 34.2126
150000 35670.5 30.6965 34.0634 34.133
160000 35658.6 30.6537 34.0777 34.157
170000 35767.8 30.7114 34.0746 34.1964
180000 35759.9 30.7072 34.0636 34.2051
190000 35715.2 30.7102 34.0579 34.1646
200000 35754.5 30.7001 34.0818 34.1879
210000 35744 30.7208 34.047 34.1906
220000 35813.7 30.7261 34.0454 34.2512
230000 35792.4 30.72 34.0569 34.2293
240000 35790.4 30.7398 34.0717 34.1879
250000 35670.8 30.683 34.0796 34.1338
260000 35709.4 30.6772 34.0732 34.1811
270000 35673.5 30.6898 34.0271 34.1776
280000 35698.5 30.6655 34.0451 34.2142
290000 35724.7 30.6926 34.0616 34.1895
300000 35787.3 30.753 34.0606 34.1806
310000 35750.5 30.7426 34.058 34.1609
320000 35750 30.6585 34.0729 34.2412
330000 35787.3 30.7419 34.0747 34.1791
340000 35690.6 30.6977 34.0584 34.1544
350000 35670.6 30.6942 34.0717 34.126
360000 35797.3 30.7361 34.0477 34.2198
370000 35670.1 30.713 34.0454 34.1305
380000 35767.5 30.72 34.0692 34.1911
390000 35762.8 30.705 34.0791 34.1917
400000 35720.7 30.7342 34.0573 34.1418
410000 35742.2 30.7042 34.0722 34.1821
420000 35819 30.71 34.0806 34.2405
430000 35866.7 30.7255 34.0344 34.3116
440000 35677.9 30.6688 34.0894 34.1461
450000 35642.4 30.6211 34.0773 34.1842
460000 35787 30.7186 34.0466 34.236
470000 35872.5 30.7474 34.0592 34.2708
480000 35845.2 30.6767 34.0584 34.3244
490000 35836.9 30.7614 34.0582 34.2205
500000 35693.4 30.7253 34.0756 34.1105
510000 35792.7 30.709 34.0687 34.2287
520000 35788.9 30.7246 34.038 34.2366
530000 35758.6 30.7478 34.0622 34.1566
540000 35881.7 30.7382 34.054 34.2936
550000 35787.4 30.7107 34.042 34.2489
560000 35789.4 30.7348 34.0698 34.1933
570000 35812.3 30.7353 34.0548 34.23
580000 35667.5 30.6838 34.0574 34.1512
590000 35650.8 30.6491 34.0671 34.1664
600000 35744.2 30.6897 34.0427 34.2326
610000 35844.7 30.7294 34.0508 34.2707
620000 35853.4 30.7355 34.0412 34.2817
630000 35779.3 30.6782 34.0639 34.2535
640000 35769 30.6874 34.0598 34.2361
650000 35847.5 30.7345 34.0537 34.2631
660000 35671.1 30.6465 34.0836 34.1699
670000 35842.1 30.7124 34.0707 34.266
680000 35872.8 30.7161 34.0581 34.3045
690000 35870 30.7044 34.0558 34.3173
700000 35805 30.7073 34.073 34.2356
710000 35799.4 30.6978 34.0441 34.2691
720000 35814.7 30.7153 34.0741 34.2352
730000 35843.2 30.7461 34.0729 34.2283
740000 35687.1 30.6804 34.0778 34.1534
750000 35700.4 30.6988 34.0603 34.1626
760000 35730 30.6721 34.0741 34.2075
770000 35861.1 30.7513 34.0532 34.2586
780000 35769.6 30.703 34.0712 34.2093
790000 35689 30.6908 34.0444 34.174
800000 35832.5 30.7322 34.0463 34.2626
810000 35814.9 30.7596 34.0594 34.1994
820000 35838.5 30.7418 34.0655 34.2355
830000 35869.3 30.7854 34.0315 34.249
840000 35744.2 30.6842 34.057 34.2242
850000 35739.3 30.6757 34.0691 34.2149
860000 35778.5 30.7231 34.0427 34.2253
870000 35772.5 30.7287 34.0684 34.186
880000 35704.6 30.6364 34.0663 34.2315
890000 35750.6 30.6597 34.0691 34.2442
900000 35767.6 30.6902 34.0614 34.2343
910000 35743.2 30.6948 34.0731 34.1944
920000 35816.4 30.6894 34.0336 34.3071
930000 35818 30.7187 34.066 34.241
940000 35758.3 30.6778 34.0639 34.2353
950000 35842.1 30.7337 34.0456 34.2685
960000 35822.6 30.7529 34.0504 34.2225
970000 35711.2 30.6967 34.0855 34.1469
980000 35856 30.7271 34.0622 34.2703
990000 35824.7 30.7435 34.0617 34.2263
1000000 35773.1 30.6988 34.0892 34.1978
