# Time-averaged data for fix 5
# TimeStep v_V v_a v_b v_c
10000 35425.8 30.6152 34.1183 33.9425
20000 35449.9 30.6334 34.1077 33.9542
30000 35420.1 30.6452 34.1049 33.916
40000 35395.4 30.6174 34.1292 33.8997
50000 35517.9 30.6641 34.1194 33.9715
60000 35458.4 30.6329 34.1135 33.9589
70000 35475.5 30.6373 34.1237 33.9589
80000 35421.2 30.6456 34.1114 33.9092
90000 35389.4 30.6104 34.1079 33.9259
100000 35397.6 30.6132 34.1228 33.915
110000 35535.3 30.6736 34.1122 33.9847
120000 35386.4 30.5791 34.1238 33.9435
130000 35491.9 30.6968 34.1168 33.9113
140000 35469.5 30.623 34.1182 33.9741
150000 35428 30.6276 34.1231 33.9268
160000 35390.9 30.6141 34.1144 33.9173
170000 35463 30.6529 34.1007 33.951
180000 35485.1 30.6635 34.1172 33.9427
190000 35462.8 30.6286 34.0972 33.9831
200000 35430.4 30.6276 34.1232 33.9281
210000 35371.8 30.5958 34.1211 33.9126
220000 35425.5 30.6221 34.1319 33.9213
230000 35367 30.5822 34.1196 33.9263
240000 35375.5 30.621 34.1223 33.886
250000 35415.5 30.6265 34.1237 33.9157
260000 35415.6 30.6448 34.1075 33.9107
270000 35404.7 30.6176 34.1336 33.9058
280000 35441.1 30.6492 34.1107 33.9246
290000 35385.4 30.6087 34.1229 33.9073
300000 35447.6 30.6589 34.1305 33.9007
310000 35421.7 30.6507 34.1206 33.897
320000 35430.9 30.643 34.1155 33.9188
330000 35504.2 30.6727 34.1208 33.9463
340000 35422.9 30.6255 34.1042 33.9419
350000 35448 30.6256 34.1288 33.941
360000 35413.3 30.6343 34.1173 33.9098
370000 35367.9 30.6052 34.1112 33.9074
380000 35486.6 30.6794 34.1099 33.9333
390000 35426 30.6381 34.1067 33.9274
400000 35406.5 30.6244 34.103 33.9302
410000 35440.4 30.6029 34.1246 33.9655
420000 35454 30.6504 34.1132 33.9324
430000 35422.6 30.6241 34.107 33.9397
440000 35481.5 30.6432 34.1063 33.9735
450000 35485.9 30.6847 34.0881 33.9474
460000 35337.8 30.5916 34.125 33.8821
470000 35424.2 30.6251 34.1312 33.916
480000 35411.8 30.6211 34.1093 33.9311
490000 35494 30.6131 34.1451 33.9815
500000 35590.9 30.7203 34.1215 33.972
510000 35405.6 30.6103 34.1234 33.9257
520000 35440 30.6397 34.1162 33.932
530000 35403.8 30.6175 34.1207 33.9189
540000 35448.7 30.6551 34.1108 33.9265
550000 35493.6 30.6718 34.0965 33.9636
560000 35452.5 30.6258 34.1196 33.9561
570000 35420.1 30.6288 34.1175 33.9217
580000 35489.6 30.6525 34.1151 33.9649
590000 35428.4 30.6387 34.115 33.9222
600000 35433.1 30.6489 34.1289 33.9016
610000 35443.5 30.6633 34.1201 33.9032
620000 35451.6 30.6389 34.1211 33.9377
630000 35423 30.632 34.1175 33.9228
640000 35469.9 30.6378 34.1213 33.9562
650000 35474.2 30.6465 34.122 33.9467
660000 35485.4 30.6468 34.1282 33.9495
670000 35446.6 30.6187 34.1002 33.9753
680000 35399.9 30.6111 34.1303 33.9114
690000 35376.8 30.6006 34.1147 33.9171
700000 35481.4 30.6483 34.1179 33.957
710000 35374.6 30.6093 34.1073 33.9133
720000 35474.6 30.6623 34.1152 33.9364
730000 35393.9 30.6238 34.1329 33.8885
740000 35377.9 30.6184 34.1329 33.8804
750000 35356.8 30.5889 34.1147 33.914
760000 35484.1 30.6636 34.1196 33.9412
770000 35456.8 30.6549 34.1213 33.9236
780000 35487.4 30.6503 34.1099 33.9674
790000 35425.9 30.6175 34.1129 33.9453
800000 35443 30.6295 34.1132 33.9475
810000 35454.4 30.6215 34.115 33.9646
820000 35441.3 30.6248 34.1236 33.9433
830000 35425.3 30.6307 34.1215 33.9207
840000 35413.4 30.6518 34.1172 33.8903
850000 35432.5 30.6369 34.1104 33.932
860000 35416.8 30.6488 34.1084 33.9051
870000 35364.3 30.6378 34.1124 33.8658
880000 35419.9 30.6441 34.1138 33.9081
890000 35414.7 30.606 34.0988 33.9624
900000 35413 30.6535 34.1089 33.894
910000 35434.4 30.6504 34.1192 33.9089
920000 35443.9 30.6454 34.0973 33.9456
930000 35432.7 30.6306 34.108 33.9423
940000 35441.5 30.6438 34.1027 33.9421
950000 35410.9 30.6179 34.1069 33.9395
960000 35429 30.6689 34.1225 33.8803
970000 35410 30.6325 34.1248 33.9016
980000 35418.4 30.6215 34.1339 33.9142
990000 35391.3 30.6569 34.1067 33.8743
1000000 35426.9 30.6382 34.1269 33.908
