# Time-averaged data for fix 5
# TimeStep v_V v_a v_b v_c
10000 24869.9 32.0869 28.0551 29.6541
20000 24868.7 32.0863 28.0545 29.6542
30000 24868 32.0854 28.054 29.6543
40000 24869.1 32.0858 28.0548 29.6545
50000 24870.8 32.0857 28.0555 29.6556
60000 24868.3 32.0851 28.0547 29.6542
70000 24872.2 32.0866 28.0556 29.6563
80000 24871 32.0862 28.0554 29.6556
90000 24869.4 32.0854 28.0549 29.6549
100000 24870.2 32.0862 28.0551 29.6552
110000 24869.8 32.0871 28.0545 29.655
120000 24870.3 32.0862 28.0547 29.6554
130000 24869.7 32.0861 28.0548 29.655
140000 24869.7 32.0862 28.055 29.6543
150000 24871 32.0869 28.0551 29.6553
160000 24870.7 32.0866 28.0557 29.6545
170000 24867.6 32.0858 28.055 29.6529
180000 24868.1 32.0857 28.0548 29.6538
190000 24867.9 32.0856 28.055 29.6535
200000 24867.5 32.086 28.0544 29.6535
210000 24869 32.086 28.0549 29.6544
220000 24871.4 32.087 28.0558 29.6554
230000 24871.2 32.0871 28.0557 29.655
240000 24871.4 32.087 28.0556 29.6552
250000 24870.2 32.0859 28.0552 29.655
260000 24869.9 32.0862 28.0554 29.6543
270000 24869.4 32.0867 28.0552 29.6539
280000 24872.2 32.0868 28.0562 29.6557
290000 24870.5 32.0864 28.0549 29.6554
300000 24870.5 32.0866 28.0551 29.6547
310000 24872.9 32.0873 28.0563 29.6561
320000 24871 32.0867 28.0549 29.6555
330000 24871.2 32.087 28.0553 29.6553
340000 24870.5 32.086 28.0546 29.656
350000 24871.4 32.0867 28.055 29.6558
360000 24869.5 32.0862 28.0546 29.6548
370000 24870 32.0861 28.0551 29.655
380000 24869.9 32.0857 28.0551 29.6549
390000 24869.3 32.0861 28.0548 29.6544
400000 24867.6 32.0862 28.0546 29.653
