# Time-averaged data for fix 5
# TimeStep v_V v_a v_b v_c
10000 24874.3 32.0681 28.078 29.6519
20000 24869.5 32.0662 28.0761 29.6495
30000 24871.4 32.0686 28.0764 29.6485
40000 24867.3 32.0676 28.0755 29.6477
50000 24873 32.0717 28.0777 29.6489
60000 24873.9 32.0677 28.0771 29.6525
70000 24869.9 32.0667 28.0763 29.6499
80000 24874.7 32.0669 28.0784 29.653
90000 24873.2 32.0697 28.0782 29.6496
100000 24871.1 32.0683 28.0777 29.649
110000 24870.6 32.0683 28.0773 29.6489
120000 24873 32.0691 28.0785 29.6496
130000 24875.8 32.0668 28.0797 29.653
140000 24870.1 32.0667 28.0745 29.6515
150000 24870.4 32.069 28.0755 29.6492
160000 24872.6 32.0669 28.078 29.6505
170000 24869.6 32.0679 28.0751 29.6496
180000 24872.5 32.0675 28.0762 29.6509
190000 24865.1 32.0664 28.074 29.6473
200000 24867.6 32.0685 28.0756 29.6471
210000 24872.2 32.069 28.0763 29.6506
220000 24869.8 32.0684 28.0766 29.6485
230000 24870.8 32.0695 28.077 29.6492
240000 24870.3 32.0659 28.0769 29.6507
250000 24867.9 32.0663 28.0753 29.6497
260000 24867.7 32.066 28.0758 29.649
270000 24872.2 32.0678 28.0765 29.6514
280000 24867.6 32.0651 28.0762 29.6484
290000 24870.5 32.0666 28.0757 29.6509
300000 24869.6 32.066 28.0765 29.6496
310000 24869.8 32.0664 28.0772 29.6492
320000 24869.5 32.0662 28.0757 29.6498
330000 24873.3 32.0664 28.0768 29.6522
340000 24869.5 32.0673 28.0762 29.649
350000 24871.1 32.0695 28.0783 29.6482
360000 24870.5 32.0701 28.0764 29.6485
370000 24870.7 32.0677 28.0777 29.6497
380000 24869.2 32.0681 28.0763 29.649
390000 24867.1 32.0646 28.0755 29.6494
400000 24873.5 32.0671 28.0778 29.6524
