# Time-averaged data for fix 5
# TimeStep v_V v_a v_b v_c
10000 24872 32.046 28.0957 29.6475
20000 24876 32.0443 28.0949 29.6529
30000 24877.9 32.0494 28.0983 29.6501
40000 24867.4 32.0487 28.0936 29.6445
50000 24870.2 32.0455 28.0965 29.6461
60000 24862.1 32.0421 28.0927 29.6435
70000 24864.4 32.0435 28.0931 29.6446
80000 24866.9 32.046 28.0956 29.6432
90000 24866.3 32.0468 28.095 29.6429
100000 24868.3 32.0452 28.0954 29.6443
110000 24870.9 32.0462 28.0973 29.6462
120000 24869.8 32.0442 28.093 29.6484
130000 24866.9 32.0429 28.0931 29.6473
140000 24868.2 32.0448 28.0946 29.6453
150000 24863.9 32.0449 28.0921 29.6441
160000 24872.5 32.0465 28.096 29.6477
170000 24872.7 32.0486 28.096 29.6469
180000 24873 32.0468 28.096 29.648
190000 24868.9 32.0461 28.0961 29.6447
200000 24868.2 32.0463 28.0963 29.6436
210000 24870.8 32.0472 28.0955 29.6456
220000 24866.1 32.0442 28.0952 29.6444
230000 24871.2 32.047 28.0966 29.6465
240000 24864.8 32.0461 28.0958 29.6422
250000 24876 32.0513 28.0981 29.6481
260000 24873.9 32.0473 28.0964 29.6481
270000 24870.8 32.0462 28.0946 29.6477
280000 24870.6 32.0466 28.0952 29.6467
290000 24869.8 32.0455 28.0943 29.647
300000 24871.5 32.0475 28.0979 29.6461
310000 24870.1 32.0486 28.0967 29.6442
320000 24870.6 32.0468 28.0966 29.6463
330000 24873.7 32.0508 28.0994 29.6446
340000 24875.2 32.0479 28.0966 29.6486
350000 24866.2 32.0446 28.0913 29.6471
360000 24874.4 32.0448 28.0966 29.6505
370000 24875 32.0468 28.0964 29.6497
380000 24873 32.0485 28.0945 29.6482
390000 24871.5 32.0479 28.0958 29.6461
400000 24872.3 32.0468 28.0961 29.6484
