# Time-averaged data for fix 5
# TimeStep v_V v_a v_b v_c
10000 24864.6 32.0552 28.083 29.6462
20000 24869 32.0571 28.086 29.6469
30000 24874.7 32.0605 28.0888 29.648
40000 24871.5 32.057 28.0861 29.6489
50000 24868 32.0581 28.0852 29.6455
60000 24869 32.0569 28.0841 29.6488
70000 24872.3 32.0568 28.0866 29.649
80000 24870.1 32.0566 28.0855 29.6484
90000 24868.9 32.0586 28.0858 29.6459
100000 24870.6 32.0571 28.0874 29.6469
110000 24868 32.0554 28.0863 29.6463
120000 24866.8 32.0575 28.0856 29.6445
130000 24870.2 32.0565 28.0869 29.6477
140000 24869.2 32.0563 28.0861 29.6485
150000 24867.5 32.055 28.0841 29.648
160000 24874.1 32.0562 28.0863 29.6518
170000 24872.2 32.0597 28.0884 29.6468
180000 24870.5 32.0586 28.0872 29.6466
190000 24870.5 32.0575 28.0876 29.6473
200000 24868.4 32.0582 28.0865 29.6453
210000 24870.8 32.0564 28.0881 29.6474
220000 24873.2 32.0571 28.0858 29.6507
230000 24873.6 32.0575 28.0884 29.6491
240000 24878.6 32.0604 28.0899 29.6501
250000 24877.5 32.06 28.088 29.6516
260000 24873.5 32.0609 28.0869 29.6486
270000 24865 32.058 28.0842 29.6434
280000 24871 32.0579 28.0868 29.6471
290000 24871.5 32.0567 28.0857 29.65
300000 24868.6 32.0554 28.0854 29.6479
310000 24868.5 32.0562 28.0854 29.6474
320000 24867.1 32.0544 28.0845 29.6469
330000 24868.5 32.0547 28.0849 29.6475
340000 24867.5 32.0565 28.0862 29.6458
350000 24869 32.0569 28.086 29.6467
360000 24871 32.0589 28.0864 29.6466
370000 24869 32.0579 28.0878 29.6446
380000 24869.3 32.0578 28.0861 29.647
390000 24861.7 32.0542 28.0827 29.6443
400000 24871 32.0561 28.0871 29.6485
