# Time-averaged data for fix 5
# TimeStep v_V v_a v_b v_c
10000 19538.8 27.6351 27.2071 26.9486
20000 19532.6 27.6291 27.2027 26.9485
30000 19523 27.6222 27.2052 26.9359
40000 19481.8 27.5916 27.1901 26.9087
50000 19523 27.6335 27.2 26.9337
60000 19508.4 27.6027 27.1971 26.9351
70000 19493.3 27.595 27.1981 26.9163
80000 19528.2 27.6313 27.201 26.9408
90000 19512.1 27.6152 27.2004 26.9277
100000 19536.6 27.6375 27.2022 26.949
110000 19516.4 27.6192 27.2016 26.9323
120000 19495.7 27.5963 27.194 26.9236
130000 19527.7 27.6289 27.1996 26.9436
140000 19518.7 27.6169 27.2022 26.9355
150000 19513.1 27.616 27.202 26.9278
160000 19519.5 27.6231 27.203 26.932
170000 19521 27.612 27.1981 26.9471
180000 19536 27.6277 27.2061 26.951
190000 19502.6 27.5997 27.2028 26.924
200000 19527.4 27.636 27.2026 26.9363
210000 19498.1 27.5965 27.1952 26.9263
220000 19516.3 27.6142 27.1997 26.9375
230000 19524 27.6213 27.2005 26.9418
240000 19536.7 27.6347 27.204 26.9501
250000 19539.5 27.6452 27.2069 26.9424
260000 19499.6 27.6022 27.1988 26.9187
270000 19477.7 27.5768 27.1908 26.9118
280000 19516.1 27.6162 27.1997 26.936
290000 19524.8 27.6221 27.2033 26.9404
300000 19506.9 27.6037 27.2002 26.9293
310000 19514.8 27.6148 27.1993 26.9347
320000 19506.7 27.6145 27.1969 26.9239
330000 19492.2 27.5947 27.1957 26.9167
340000 19499.2 27.61 27.1963 26.9154
350000 19478.3 27.586 27.1923 26.9047
360000 19521.7 27.6306 27.2028 26.9297
370000 19537.5 27.6348 27.2084 26.946
380000 19547 27.6494 27.2111 26.9481
390000 19540.7 27.6479 27.2081 26.9416
400000 19512 27.617 27.2041 26.924
410000 19509.4 27.6079 27.1974 26.9321
420000 19527 27.6379 27.1999 26.9359
430000 19491.5 27.6 27.1908 26.9169
440000 19504.2 27.6107 27.1976 26.9219
450000 19505.5 27.6076 27.1976 26.926
460000 19518.7 27.6292 27.1963 26.9333
470000 19519.4 27.6324 27.2016 26.9273
480000 19531.4 27.6393 27.2016 26.9398
490000 19524.7 27.6307 27.2005 26.9371
500000 19512.8 27.6156 27.1992 26.9304
510000 19524.5 27.6262 27.2029 26.9369
520000 19523.3 27.6253 27.2042 26.9354
530000 19516.9 27.6186 27.2005 26.9337
540000 19525.5 27.6347 27.2046 26.9307
550000 19519.8 27.6181 27.2001 26.9382
560000 19539.9 27.6379 27.2078 26.9489
570000 19536.3 27.6452 27.2043 26.942
580000 19531.3 27.628 27.2028 26.9467
590000 19533.8 27.636 27.2062 26.9419
600000 19535 27.6173 27.2066 26.9565
610000 19554.3 27.6487 27.208 26.9626
620000 19516.1 27.6102 27.1992 26.9406
630000 19541.3 27.6449 27.2047 26.9507
640000 19538 27.6458 27.2065 26.9422
650000 19504.5 27.6068 27.1975 26.9265
660000 19514.6 27.6147 27.1999 26.9333
670000 19526.8 27.6286 27.2022 26.94
680000 19547.6 27.6511 27.2078 26.9497
690000 19524.4 27.6249 27.2023 26.9382
700000 19533 27.6339 27.2 26.9477
710000 19501 27.6016 27.197 26.9243
720000 19532.4 27.642 27.2037 26.9371
730000 19532.9 27.6242 27.2047 26.9498
740000 19528.1 27.6184 27.2056 26.9455
750000 19534 27.6362 27.2036 26.9431
760000 19505.7 27.6111 27.196 26.925
770000 19498.7 27.6009 27.1972 26.9208
780000 19500.7 27.5996 27.1937 26.9283
790000 19509.6 27.6065 27.199 26.9332
800000 19514.1 27.6244 27.1987 26.9263
810000 19508.7 27.6068 27.1997 26.9297
820000 19572 27.6743 27.2106 26.97
830000 19550.9 27.6527 27.2097 26.9527
840000 19512.5 27.6015 27.2042 26.9347
850000 19525.1 27.6259 27.2003 26.9411
860000 19529.3 27.6375 27.2 26.9392
870000 19523 27.6184 27.2017 26.9416
880000 19520.8 27.629 27.1979 26.9347
890000 19496.9 27.5993 27.1972 26.9184
900000 19509.2 27.6161 27.2007 26.923
910000 19505.1 27.609 27.1966 26.9251
920000 19501 27.6058 27.1976 26.9205
930000 19540 27.6426 27.2101 26.9446
940000 19508.7 27.6199 27.1972 26.923
950000 19515.7 27.6191 27.1975 26.9346
960000 19518.9 27.6177 27.1982 26.94
970000 19509.4 27.6075 27.197 26.9338
980000 19513.7 27.6199 27.1997 26.9281
990000 19532.9 27.6312 27.2026 26.9473
1000000 19526.4 27.6283 27.201 26.9409
