# Time-averaged data for fix 5
# TimeStep v_V v_a v_b v_c
10000 19373.3 27.5274 27.1716 26.8039
20000 19377.5 27.5289 27.1712 26.8106
30000 19373.2 27.5176 27.1705 26.8121
40000 19396.7 27.5453 27.1785 26.8213
50000 19381.5 27.5275 27.1717 26.8173
60000 19392.4 27.5388 27.1752 26.8232
70000 19386.4 27.5287 27.1763 26.82
80000 19405.3 27.5574 27.1764 26.8283
90000 19393.3 27.5435 27.1744 26.8225
100000 19387.4 27.536 27.1752 26.8179
110000 19363.3 27.5114 27.1714 26.8015
120000 19379 27.5233 27.175 26.8138
130000 19392.6 27.5397 27.1739 26.8236
140000 19367.9 27.5137 27.1668 26.8108
150000 19387.8 27.5396 27.1752 26.816
160000 19368.6 27.5186 27.1686 26.8078
170000 19370.1 27.5184 27.1697 26.8083
180000 19375.5 27.5209 27.1742 26.8108
190000 19376.6 27.5276 27.1707 26.8104
200000 19366.1 27.5072 27.1664 26.8127
210000 19368 27.5155 27.168 26.8077
220000 19379.3 27.5224 27.1727 26.816
230000 19360 27.511 27.1673 26.7997
240000 19376.9 27.527 27.1695 26.8133
250000 19365.1 27.5176 27.168 26.8037
260000 19366.9 27.5141 27.1685 26.808
270000 19390.1 27.538 27.1753 26.8201
280000 19371.4 27.516 27.1699 26.8121
290000 19396.4 27.5439 27.177 26.8239
300000 19374.7 27.5181 27.1677 26.8174
310000 19387.2 27.5265 27.1733 26.825
320000 19384.4 27.5292 27.1754 26.8168
330000 19370.7 27.516 27.1712 26.809
340000 19405.8 27.5461 27.1815 26.8321
350000 19397 27.542 27.1775 26.8251
360000 19394 27.5411 27.1789 26.8196
370000 19395.1 27.5384 27.1763 26.8256
380000 19377.9 27.52 27.1728 26.8164
390000 19377.4 27.5225 27.1723 26.8145
400000 19370.5 27.5078 27.1712 26.815
410000 19389.5 27.5339 27.1754 26.8216
420000 19378.3 27.5242 27.1674 26.8185
430000 19362.8 27.5119 27.1688 26.8022
440000 19377.3 27.527 27.1714 26.8118
450000 19377.4 27.5217 27.1718 26.8147
460000 19389.2 27.5395 27.1718 26.8207
470000 19383.1 27.5305 27.1763 26.8137
480000 19370.3 27.515 27.1719 26.8091
490000 19374.3 27.5203 27.172 26.8109
500000 19382.8 27.5287 27.1732 26.8166
510000 19363.4 27.5177 27.1701 26.7973
520000 19373.7 27.522 27.1721 26.8085
530000 19357.6 27.5029 27.1658 26.8033
540000 19367.7 27.517 27.1708 26.8044
550000 19372.5 27.5232 27.172 26.8064
560000 19389.1 27.5356 27.1755 26.8202
570000 19373.8 27.5118 27.1747 26.8142
580000 19394.6 27.5445 27.1759 26.8216
590000 19375.6 27.5216 27.1746 26.8093
600000 19384.4 27.5336 27.1735 26.8154
610000 19381.5 27.5257 27.1702 26.8196
620000 19383.7 27.5316 27.1736 26.8159
630000 19368.2 27.5069 27.1722 26.811
640000 19372.6 27.523 27.1701 26.8084
650000 19382.3 27.5262 27.1744 26.8162
660000 19384.6 27.5304 27.1744 26.8162
670000 19366.5 27.5146 27.1673 26.8068
680000 19393.6 27.5386 27.1728 26.8271
690000 19370.9 27.5177 27.1681 26.8114
700000 19383.4 27.5325 27.1756 26.8128
710000 19386.3 27.5326 27.1741 26.8184
720000 19390.5 27.5384 27.1736 26.8214
730000 19383.6 27.5294 27.1759 26.8148
740000 19400.9 27.5446 27.1751 26.8321
750000 19382.2 27.5244 27.1742 26.8185
760000 19398 27.5407 27.178 26.8274
770000 19410.5 27.5489 27.1785 26.8408
780000 19390.7 27.5321 27.1729 26.8273
790000 19405 27.5513 27.176 26.8325
800000 19394.9 27.5336 27.1776 26.8283
810000 19402.7 27.5441 27.1765 26.834
820000 19408.8 27.5507 27.1799 26.8351
830000 19411 27.5518 27.1804 26.8372
840000 19398.6 27.541 27.1782 26.8278
850000 19377.4 27.5269 27.1719 26.811
860000 19387.6 27.5382 27.175 26.8166
870000 19374.8 27.5216 27.1706 26.8118
880000 19404.6 27.5453 27.1782 26.8343
890000 19403.8 27.5499 27.1778 26.8305
900000 19413.7 27.5545 27.1814 26.8388
910000 19384.6 27.5259 27.1738 26.8208
920000 19384.7 27.5342 27.1726 26.8162
930000 19368.2 27.5161 27.1678 26.8082
940000 19378 27.5318 27.1721 26.8081
950000 19362.2 27.5128 27.1688 26.8007
960000 19380.4 27.5383 27.1712 26.8086
970000 19369.7 27.5182 27.1693 26.8096
980000 19381 27.5362 27.1716 26.8115
990000 19379 27.5302 27.1738 26.8103
1000000 19391.6 27.544 27.1748 26.819
