# Time-averaged data for fix 5
# TimeStep v_V v_a v_b v_c
10000 20090.5 27.9474 27.3004 27.4927
20000 20207.5 28.0727 27.2956 27.5922
30000 20125.7 28.0021 27.3071 27.5
40000 20187.6 28.0701 27.3158 27.5423
50000 20209.1 28.0867 27.3122 27.5686
60000 20206 28.0825 27.3036 27.5713
70000 20263.9 28.0833 27.3171 27.6477
80000 20277.5 28.1074 27.3005 27.6687
90000 20187.4 28.0605 27.3102 27.5509
100000 20211 28.116 27.3179 27.5496
110000 20246.2 28.1238 27.3375 27.5794
120000 20285.3 28.1515 27.3403 27.6159
130000 20330.5 28.2149 27.3345 27.6476
140000 20365.6 28.1633 27.3243 27.748
150000 20440.2 28.2141 27.3516 27.7993
160000 20302.5 28.1655 27.3252 27.6464
170000 20304.6 28.174 27.3033 27.665
180000 20259.1 28.135 27.3191 27.6038
190000 20216.9 28.08 27.3213 27.5749
200000 20195.4 28.0683 27.3028 27.5699
210000 20255.8 28.1121 27.3041 27.6251
220000 20238 28.1221 27.3047 27.5922
230000 20188.4 28.064 27.2837 27.5779
240000 20186.5 28.088 27.2975 27.5506
250000 20224.5 28.0947 27.3345 27.5737
260000 20167.8 28.0617 27.3155 27.5233
270000 20214.3 28.0973 27.3176 27.5673
280000 20186.2 28.0537 27.3176 27.5535
290000 20307.5 28.1625 27.338 27.6423
300000 20261.2 28.1565 27.3124 27.5986
310000 20145.3 28.0223 27.2956 27.5269
320000 20237.7 28.107 27.3248 27.587
330000 20277.9 28.125 27.3205 27.6391
340000 20297.9 28.1117 27.3198 27.6775
350000 20331.8 28.1414 27.338 27.6989
360000 20368 28.1848 27.3321 27.7278
370000 20305.3 28.1594 27.2768 27.7047
380000 20321.8 28.1804 27.3147 27.6757
390000 20270.2 28.1266 27.3255 27.623
400000 20192.7 28.0875 27.3166 27.5397
410000 20114.7 27.9851 27.2971 27.5057
420000 20093.1 27.9576 27.289 27.4993
430000 20247.2 28.106 27.3207 27.6048
440000 20370.1 28.2023 27.3168 27.7338
450000 20421.1 28.2475 27.3419 27.7572
460000 20305.9 28.1257 27.3251 27.6745
470000 20320.7 28.1764 27.3203 27.6698
480000 20247.3 28.0967 27.3174 27.6158
490000 20204.4 28.0884 27.3302 27.5408
500000 20173.2 28.0705 27.3238 27.5106
510000 20164 28.0485 27.3143 27.5205
520000 20092.4 27.9803 27.2962 27.4715
530000 20030.8 27.9295 27.2807 27.4283
540000 20146.3 28.0415 27.3028 27.509
550000 20196.3 28.1011 27.3166 27.5393
560000 20223.4 28.1141 27.3047 27.5784
570000 20109 27.9994 27.3021 27.482
580000 20211.1 28.0977 27.3189 27.5576
590000 20281.2 28.1437 27.3221 27.6309
600000 20193 28.0974 27.3125 27.5369
610000 20105 28.0069 27.3022 27.468
620000 20180.8 28.0686 27.3183 27.5267
630000 20242.4 28.1034 27.3291 27.5904
640000 20220.6 28.0865 27.3141 27.5831
650000 20240.2 28.1102 27.3322 27.5803
660000 20255.4 28.1276 27.3113 27.6113
670000 20228.6 28.1084 27.3255 27.5677
680000 20234.4 28.1295 27.3238 27.564
690000 20229.3 28.1321 27.2892 27.5876
700000 20219.4 28.1011 27.3299 27.557
710000 20202.8 28.082 27.3146 27.56
720000 20165.4 28.0216 27.3049 27.5556
730000 20072.1 27.947 27.286 27.4769
740000 20253.1 28.1447 27.3268 27.5828
750000 20234.6 28.1085 27.325 27.5819
760000 20251.8 28.1334 27.3193 27.5973
770000 20218.9 28.1068 27.3316 27.5518
780000 20251.6 28.1563 27.3293 27.5693
790000 20137.7 28.0433 27.3028 27.4945
800000 20121.2 27.9807 27.3029 27.5132
810000 20213.9 28.0946 27.2988 27.5811
820000 20311.5 28.1904 27.3333 27.6351
830000 20226.4 28.1157 27.325 27.5617
840000 20268.8 28.1705 27.3238 27.5897
850000 20180.1 28.0677 27.3171 27.5315
860000 20199.4 28.0814 27.3181 27.5496
870000 20224.3 28.1342 27.2973 27.5764
880000 20353.8 28.2494 27.3558 27.6432
890000 20179.5 28.0708 27.3119 27.5301
900000 20271 28.1525 27.3063 27.6233
910000 20272.1 28.1483 27.3144 27.6194
920000 20223.7 28.1041 27.2923 27.5939
930000 20183.9 28.0724 27.3199 27.5276
940000 20190.9 28.0643 27.3215 27.5479
950000 20274.5 28.1576 27.3261 27.6114
960000 20249.7 28.1076 27.326 27.6012
970000 20149 28.0469 27.2907 27.5189
980000 20057 27.9201 27.2862 27.4722
990000 20190.8 28.0785 27.3236 27.5357
1000000 20280.4 28.1878 27.3333 27.5908
