# Time-averaged data for fix 5
# TimeStep v_V v_a v_b v_c
10000 19993.1 27.9436 27.284 27.3625
20000 19917 27.868 27.2802 27.2984
30000 19945.3 27.9109 27.2842 27.3088
40000 19889.9 27.8482 27.2724 27.2768
50000 19882.8 27.8579 27.2764 27.2557
60000 19914.7 27.9083 27.2714 27.277
70000 19864.8 27.8422 27.2641 27.2481
80000 19929.3 27.9078 27.2777 27.2919
90000 20044.2 28.0126 27.2983 27.379
100000 19892.9 27.8513 27.2632 27.2907
110000 19916.2 27.8727 27.273 27.3006
120000 19900.2 27.8746 27.2687 27.278
130000 19886.5 27.8562 27.2773 27.2613
140000 19866.6 27.8529 27.2581 27.2515
150000 19841.6 27.8161 27.26 27.2363
160000 19930.4 27.9127 27.2758 27.2916
170000 19971.4 27.93 27.2777 27.3422
180000 19917 27.8978 27.2714 27.2911
190000 19905 27.8682 27.2721 27.288
200000 19955.4 27.9195 27.2862 27.318
210000 19924.4 27.884 27.281 27.2975
220000 19948.8 27.904 27.2806 27.3213
230000 19934.7 27.9181 27.274 27.2959
240000 19894.7 27.8826 27.2726 27.2641
250000 19855.1 27.8353 27.2645 27.2391
260000 19871.2 27.8529 27.2631 27.2534
270000 19883.7 27.8544 27.2711 27.2643
280000 19900.5 27.854 27.2682 27.293
290000 19979.2 27.9337 27.2856 27.3423
300000 19866.9 27.8336 27.2597 27.2667
310000 19944.3 27.9339 27.2796 27.2974
320000 19878 27.8423 27.2687 27.2686
330000 19949.1 27.8913 27.2836 27.3309
340000 19961.6 27.9262 27.2844 27.3244
350000 19903.9 27.8716 27.2739 27.2814
360000 19904.9 27.8547 27.2752 27.2951
370000 19958.3 27.9217 27.2867 27.3201
380000 19928 27.9106 27.2833 27.2845
390000 19989.1 27.9668 27.2865 27.3367
400000 20019.2 27.9925 27.2919 27.363
410000 19897.3 27.8553 27.266 27.2921
420000 19916.5 27.8804 27.2744 27.2966
430000 19887.9 27.864 27.2788 27.2567
440000 19907.3 27.8793 27.2764 27.2815
450000 19909.2 27.8821 27.2769 27.2803
460000 19898 27.8701 27.27 27.2776
470000 19934.7 27.8965 27.2738 27.3084
480000 19971.7 27.9546 27.272 27.33
490000 20019.3 27.9923 27.2952 27.3584
500000 19877 27.8466 27.2627 27.2688
510000 19972 27.9473 27.286 27.3256
520000 19978.6 27.9516 27.2808 27.3392
530000 19929.6 27.8964 27.2789 27.3001
540000 19900 27.8381 27.2698 27.3047
550000 20001.9 27.9691 27.2876 27.3552
560000 19895 27.85 27.2697 27.2864
570000 19935.5 27.8899 27.282 27.3105
580000 19925.7 27.8877 27.2806 27.2999
590000 19934.7 27.9034 27.282 27.2987
600000 19910.5 27.8766 27.2831 27.2798
610000 19962.9 27.9265 27.2891 27.3214
620000 19965.5 27.9298 27.2885 27.3235
630000 19984.5 27.9615 27.2901 27.3315
640000 19892.5 27.8675 27.2711 27.2707
650000 19847.1 27.8279 27.2558 27.2394
660000 19992.9 27.9408 27.2768 27.3693
670000 19969.7 27.9368 27.2854 27.3271
680000 20039.4 28.0106 27.2994 27.3727
690000 19935.9 27.8976 27.2764 27.3118
700000 19941.8 27.8821 27.2772 27.3313
710000 19906.3 27.8733 27.2774 27.2823
720000 19908.4 27.8678 27.2721 27.2938
730000 19976.1 27.923 27.2886 27.3437
740000 19954.6 27.9185 27.2829 27.3197
750000 19969.4 27.9378 27.281 27.3323
760000 20010.9 27.9777 27.3028 27.346
770000 19947.6 27.911 27.2781 27.317
780000 19930.6 27.8638 27.2809 27.3229
790000 19991.5 27.9558 27.2877 27.3469
800000 19992 27.9716 27.2926 27.3314
810000 19873 27.8514 27.2701 27.251
820000 19965.5 27.9111 27.2789 27.3434
830000 19963.3 27.9215 27.2804 27.3313
840000 19952.2 27.9148 27.2858 27.3148
850000 19946.5 27.91 27.2747 27.3221
860000 19897.4 27.8623 27.2728 27.2783
870000 19944 27.9226 27.2809 27.2986
880000 19899 27.8677 27.2686 27.2812
890000 19948.5 27.9188 27.2827 27.3066
900000 19888.1 27.8442 27.2632 27.2867
910000 19906.1 27.8994 27.2741 27.2655
920000 19867.8 27.858 27.2644 27.2434
930000 19931.6 27.9196 27.2757 27.288
940000 19841.1 27.7993 27.2587 27.2498
950000 19866.6 27.8463 27.2643 27.2527
960000 19891.7 27.8365 27.2723 27.2906
970000 19897.3 27.8537 27.2664 27.2931
980000 19943.1 27.9068 27.2796 27.315
990000 19982.5 27.926 27.2872 27.3546
1000000 19938.8 27.8927 27.2759 27.3196
