# Time-averaged data for fix 5
# TimeStep v_V v_a v_b v_c
10000 19796.5 27.8197 27.2505 27.1726
20000 19797.1 27.8217 27.2553 27.17
30000 19738.1 27.7594 27.2407 27.1348
40000 19841.9 27.8494 27.2631 27.2117
50000 19819.2 27.8344 27.2562 27.1942
60000 19848.1 27.8632 27.2573 27.2182
70000 19831.5 27.8325 27.2618 27.2094
80000 19795.2 27.8049 27.2606 27.1732
90000 19849.4 27.8443 27.264 27.2283
100000 19808.8 27.8179 27.2525 27.1928
110000 19776.5 27.7815 27.2491 27.1705
120000 19854.3 27.8723 27.2637 27.2151
130000 19749.2 27.7736 27.2449 27.1402
140000 19724.6 27.7424 27.2398 27.13
150000 19792.5 27.8175 27.2439 27.1772
160000 19747.5 27.7503 27.2423 27.1573
170000 19756.3 27.7673 27.2518 27.1478
180000 19764.8 27.7932 27.2448 27.1499
190000 19782.2 27.8112 27.254 27.1549
200000 19812.1 27.8395 27.2656 27.1699
210000 19798.9 27.8056 27.253 27.1853
220000 19805.8 27.804 27.257 27.1943
230000 19724.5 27.7313 27.2378 27.1382
240000 19814.8 27.8386 27.2634 27.1766
250000 19749.9 27.7725 27.2405 27.1458
260000 19758.4 27.7797 27.2469 27.148
270000 19816.3 27.8356 27.2577 27.1896
280000 19751.3 27.7731 27.2451 27.1441
290000 19771.6 27.7898 27.2479 27.1626
300000 19818.1 27.8226 27.2599 27.1973
310000 19794.4 27.7967 27.251 27.1877
320000 19797.2 27.7959 27.26 27.1833
330000 19757.3 27.7655 27.2436 27.1571
340000 19752.8 27.7702 27.2463 27.1464
350000 19760.7 27.7691 27.2506 27.155
360000 19724.2 27.7232 27.2434 27.1388
370000 19723.8 27.7383 27.2388 27.132
380000 19771.3 27.789 27.2486 27.159
390000 19759.3 27.7755 27.2458 27.1531
400000 19828.2 27.8393 27.2627 27.1988
410000 19790.1 27.7899 27.2504 27.1865
420000 19798.2 27.8011 27.2552 27.1841
430000 19825.1 27.8334 27.255 27.2065
440000 19782 27.8031 27.2442 27.1713
450000 19754.9 27.785 27.2418 27.1444
460000 19755.8 27.7876 27.2503 27.1355
470000 19781.3 27.8057 27.2536 27.1601
480000 19799.9 27.8048 27.2546 27.187
490000 19812.7 27.8133 27.2562 27.1994
500000 19791.3 27.8025 27.2567 27.1736
510000 19817.8 27.8453 27.2553 27.1868
520000 19800.2 27.815 27.2576 27.1777
530000 19798.1 27.8191 27.2592 27.1715
540000 19763.8 27.7814 27.2483 27.1531
550000 19797.6 27.8164 27.2596 27.1682
560000 19804.6 27.8119 27.2522 27.1902
570000 19796.2 27.8181 27.2558 27.1697
580000 19760.6 27.7603 27.243 27.1678
590000 19809 27.819 27.2577 27.1877
600000 19811.3 27.8218 27.2606 27.1874
610000 19832.1 27.8521 27.2602 27.1968
620000 19822.4 27.8376 27.2539 27.1973
630000 19856.4 27.8629 27.271 27.2176
640000 19810.1 27.8209 27.2594 27.1864
650000 19788.4 27.8057 27.2512 27.1729
660000 19765.8 27.7661 27.2437 27.1714
670000 19776.1 27.791 27.2487 27.1654
680000 19815.6 27.8377 27.259 27.1835
690000 19748.6 27.7652 27.2467 27.142
700000 19775.8 27.8001 27.2521 27.1549
710000 19800 27.8189 27.2474 27.1832
720000 19792.1 27.8013 27.2549 27.1764
730000 19783.9 27.7929 27.2526 27.1717
740000 19750.4 27.769 27.2417 27.1486
750000 19766.8 27.7882 27.245 27.1584
760000 19730.7 27.7552 27.2417 27.1277
770000 19816 27.8246 27.2618 27.1928
780000 19805.3 27.8019 27.2613 27.1921
790000 19757.1 27.7787 27.2455 27.1471
800000 19849.1 27.8727 27.2662 27.2055
810000 19749.8 27.7577 27.2376 27.1578
820000 19759.2 27.7626 27.2461 27.1627
830000 19785.7 27.8073 27.2518 27.1627
840000 19781.9 27.8024 27.2515 27.161
850000 19785.8 27.801 27.2519 27.1681
860000 19831 27.834 27.2594 27.2109
870000 19801.9 27.8206 27.2582 27.1759
880000 19780.9 27.7834 27.2611 27.1666
890000 19763.4 27.7663 27.2408 27.1697
900000 19761.2 27.7804 27.2558 27.1441
910000 19790.7 27.8108 27.2534 27.1698
920000 19809.6 27.8311 27.2618 27.1755
930000 19781.4 27.8063 27.2495 27.1614
940000 19767.4 27.8028 27.2472 27.1438
950000 19734.6 27.7592 27.2407 27.1309
960000 19758.5 27.7854 27.2485 27.1417
970000 19811.7 27.8164 27.2545 27.198
980000 19801 27.8067 27.254 27.1869
990000 19795.4 27.8135 27.2575 27.1711
1000000 19776.2 27.7803 27.2495 27.1724
