T(K),Volume,Lattice Parameter (a),Lattice Parameter (b),Lattice Parameter (c),V/V0,a/a0,b/b0,c/c0
100.0,24870.0,32.0863,28.0551,29.6548,0.9999718544311177,1.00058314311018,0.999230678819092,1.0001686352015866
200.0,24871.4,32.0772,28.0665,29.6526,1.0000281455688822,1.0002993675859746,0.9996367094423491,1.0000944357128885
300.0,24870.7,32.0676,28.0767,29.6498,1.0,1.0,1.0,1.0
400.0,24870.0,32.0572,28.0862,29.6475,0.9999718544311177,0.9996756851151942,1.0003383588527142,0.9999224278072703
500.0,24870.3,32.0464,28.0955,29.6465,0.9999839168177815,0.9993388965809726,1.0006695943611608,0.9998887007669529
