# Time-averaged data for fix 5
# TimeStep v_V v_a v_b v_c
10000 19636.7 27.694 27.2294 27.037
20000 19669.6 27.7183 27.2304 27.0705
30000 19646.5 27.7083 27.2274 27.0439
40000 19622.7 27.6834 27.2173 27.0325
50000 19647.1 27.7194 27.2225 27.0406
60000 19650.3 27.7098 27.2218 27.0541
70000 19602.2 27.6567 27.2084 27.0298
80000 19635.1 27.6963 27.2197 27.043
90000 19634.4 27.7022 27.2241 27.0315
100000 19634 27.6981 27.2195 27.0393
110000 19641.3 27.6984 27.2238 27.0465
120000 19629.5 27.7025 27.2198 27.0296
130000 19642.5 27.6965 27.2259 27.0476
140000 19622.1 27.687 27.2193 27.0298
150000 19661.8 27.7141 27.2311 27.0623
160000 19686.4 27.7437 27.2377 27.0722
170000 19669.2 27.7329 27.2349 27.0563
180000 19588.4 27.6411 27.214 27.0149
190000 19606.1 27.6772 27.2181 27.0137
200000 19640.3 27.7054 27.2211 27.0443
210000 19658.2 27.7212 27.2293 27.0532
220000 19645 27.6972 27.2273 27.0485
230000 19640.7 27.7028 27.2231 27.0426
240000 19680.8 27.7387 27.233 27.07
250000 19638 27.6896 27.2248 27.0457
260000 19678.2 27.7327 27.2374 27.0656
270000 19696.8 27.7527 27.237 27.0821
280000 19658.8 27.7121 27.2311 27.0555
290000 19649.6 27.7031 27.2274 27.0516
300000 19630.5 27.6991 27.2227 27.0306
310000 19623.1 27.6834 27.2199 27.0327
320000 19633.9 27.7049 27.2214 27.0331
330000 19683.1 27.7532 27.2332 27.0634
340000 19642.1 27.708 27.219 27.0458
350000 19652.7 27.7087 27.2286 27.0515
360000 19657.8 27.7162 27.2245 27.0585
370000 19694.2 27.7507 27.2343 27.082
380000 19675.9 27.7344 27.233 27.0671
390000 19629.9 27.6814 27.2203 27.0436
400000 19664.4 27.7234 27.2275 27.0617
410000 19689.1 27.7542 27.2344 27.0726
420000 19645 27.6986 27.2244 27.0528
430000 19661.4 27.7209 27.2273 27.0586
440000 19651.2 27.7125 27.2196 27.0558
450000 19637 27.6885 27.2206 27.0505
460000 19677 27.7331 27.2324 27.07
470000 19631.8 27.6956 27.2183 27.0386
480000 19638.6 27.6975 27.2219 27.045
490000 19640 27.7105 27.2249 27.0349
500000 19642.2 27.7035 27.2261 27.0421
510000 19669.5 27.7261 27.2274 27.0651
520000 19664.1 27.7258 27.231 27.0552
530000 19669 27.7278 27.232 27.06
540000 19643.3 27.7093 27.2249 27.0401
550000 19661.3 27.7246 27.2317 27.0544
560000 19611.8 27.6747 27.2181 27.0241
570000 19635.5 27.6992 27.2249 27.0346
580000 19633.4 27.6845 27.2245 27.0425
590000 19641.9 27.6999 27.2211 27.05
600000 19670.4 27.7334 27.2273 27.0666
610000 19642.3 27.711 27.2243 27.0395
620000 19622 27.6894 27.2185 27.028
630000 19627.9 27.6889 27.2179 27.0379
640000 19633.2 27.6993 27.2196 27.0376
650000 19641.6 27.6848 27.2286 27.0519
660000 19670.5 27.7226 27.23 27.0695
670000 19687.4 27.7366 27.2315 27.0828
680000 19679.1 27.7281 27.2351 27.0736
690000 19654.8 27.7091 27.2297 27.0544
700000 19665.3 27.7104 27.2251 27.0739
710000 19666.5 27.7287 27.2294 27.0601
720000 19629.8 27.6862 27.2221 27.038
730000 19634.1 27.6942 27.222 27.0386
740000 19645.5 27.6996 27.2257 27.0503
750000 19647.7 27.7046 27.2242 27.0518
760000 19645.1 27.7144 27.2236 27.0406
770000 19652 27.712 27.2257 27.05
780000 19691.5 27.7396 27.2372 27.0849
790000 19681.6 27.7206 27.2312 27.087
800000 19636 27.6905 27.2213 27.0479
810000 19664.8 27.7211 27.2269 27.0645
820000 19668.8 27.7231 27.2271 27.0674
830000 19637.8 27.6916 27.2236 27.0456
840000 19640.3 27.6981 27.2254 27.0437
850000 19670.4 27.728 27.2347 27.0589
860000 19644.8 27.7043 27.2238 27.0475
870000 19687 27.7445 27.2367 27.0729
880000 19692.2 27.7532 27.2382 27.0737
890000 19683.7 27.7267 27.235 27.0804
900000 19632.5 27.6963 27.2186 27.0387
910000 19683.2 27.7437 27.2332 27.0706
920000 19685.3 27.7356 27.2299 27.0805
930000 19637 27.6943 27.2199 27.0448
940000 19621.9 27.6879 27.2177 27.0295
950000 19610.4 27.6771 27.217 27.0197
960000 19648.6 27.704 27.2246 27.0521
970000 19652.9 27.7059 27.2263 27.0562
980000 19651.1 27.7119 27.2294 27.0465
990000 19640.1 27.7078 27.2299 27.0316
1000000 19668.6 27.7395 27.2336 27.0513
