# Time-averaged data for fix 5
# TimeStep v_V v_a v_b v_c
10000 35520.5 30.6304 34.0914 34.042
20000 35542.5 30.6729 34.0922 34.0117
30000 35651.1 30.7265 34.1003 34.0433
40000 35629.8 30.6541 34.0758 34.1322
50000 35590.5 30.6651 34.1026 34.0537
60000 35466 30.6501 34.1087 33.9508
70000 35527 30.63 34.1028 34.0346
80000 35664.7 30.6916 34.0905 34.1034
90000 35549.7 30.6274 34.0784 34.084
100000 35668.9 30.6935 34.0933 34.1032
110000 35567.6 30.6707 34.0732 34.0549
120000 35640.1 30.6788 34.104 34.0831
130000 35668.1 30.7136 34.0963 34.0776
140000 35625.8 30.6694 34.1015 34.0836
150000 35522.5 30.6402 34.0896 34.0341
160000 35664.7 30.6873 34.0873 34.1135
170000 35621.5 30.6831 34.0874 34.0773
180000 35630.1 30.6939 34.0941 34.0659
190000 35559.7 30.6932 34.0925 34.0028
200000 35546.4 30.6291 34.0913 34.066
210000 35560.4 30.6766 34.0806 34.0367
220000 35671.4 30.7307 34.089 34.07
230000 35674.2 30.7003 34.0853 34.1105
240000 35670.2 30.7108 34.0722 34.1075
250000 35578.3 30.6632 34.098 34.0503
260000 35677.8 30.6854 34.053 34.1613
270000 35601 30.6671 34.0958 34.071
280000 35614.3 30.6657 34.0914 34.0872
290000 35665.6 30.6945 34.0903 34.102
300000 35540.5 30.6441 34.089 34.0452
310000 35588.9 30.6764 34.0999 34.041
320000 35584.7 30.6602 34.0799 34.0767
330000 35626.2 30.6799 34.0982 34.0738
340000 35560.7 30.6572 34.0814 34.0557
350000 35519.5 30.6902 34.0934 33.9681
360000 35566.5 30.668 34.0833 34.0475
370000 35579.2 30.6682 34.097 34.0472
380000 35615.5 30.6793 34.0912 34.0714
390000 35581.5 30.6348 34.0956 34.0889
400000 35601.2 30.6564 34.1081 34.0688
410000 35606.8 30.6636 34.0901 34.0846
420000 35594.6 30.6564 34.0951 34.0751
430000 35653.1 30.6715 34.0812 34.1291
440000 35667.7 30.6941 34.0917 34.1037
450000 35530.4 30.6183 34.0883 34.0673
460000 35596 30.6715 34.084 34.0695
470000 35568.1 30.6608 34.0869 34.0525
480000 35582.5 30.6892 34.0766 34.0444
490000 35589.5 30.6863 34.0941 34.0362
500000 35599.5 30.6796 34.1012 34.0474
510000 35618.5 30.6625 34.0785 34.107
520000 35560.7 30.6883 34.1048 33.9971
530000 35588.8 30.6522 34.0821 34.0876
540000 35644 30.6999 34.0986 34.0684
550000 35673.2 30.692 34.0861 34.1188
560000 35618 30.6791 34.087 34.0806
570000 35604.8 30.6863 34.0739 34.0741
580000 35627 30.6801 34.0983 34.0768
590000 35602.2 30.6662 34.0815 34.0857
600000 35630 30.6939 34.0811 34.0795
610000 35553.2 30.6652 34.0994 34.0236
620000 35604.1 30.6784 34.0864 34.069
630000 35576.4 30.6619 34.0917 34.054
640000 35707.4 30.6925 34.0892 34.1439
650000 35616.7 30.6364 34.0744 34.1401
660000 35650.8 30.695 34.078 34.1009
670000 35581.6 30.6755 34.0907 34.0468
680000 35613.3 30.685 34.0973 34.0575
690000 35696.6 30.7232 34.0891 34.1017
700000 35636.1 30.6791 34.0942 34.0899
710000 35593.1 30.6276 34.0782 34.125
720000 35635.6 30.6952 34.0918 34.0729
730000 35693.7 30.6639 34.0886 34.1678
740000 35648.9 30.677 34.092 34.1068
750000 35570.1 30.6228 34.0886 34.0989
760000 35645.9 30.6784 34.0986 34.0957
770000 35627.7 30.6354 34.1154 34.111
780000 35637.1 30.6595 34.0942 34.1128
790000 35672.6 30.6834 34.0813 34.1314
800000 35529.5 30.6066 34.1178 34.0519
810000 35609.7 30.6764 34.0756 34.0856
820000 35589.9 30.6851 34.0802 34.054
830000 35638.8 30.6714 34.0643 34.1302
840000 35638.8 30.7079 34.0867 34.0652
850000 35615.2 30.645 34.0784 34.1242
860000 35557.7 30.6582 34.0898 34.0437
870000 35548.3 30.6448 34.0899 34.0519
880000 35577.1 30.6757 34.0734 34.0607
890000 35601.1 30.6596 34.0932 34.0808
900000 35532.2 30.7096 34.0741 33.9797
910000 35579.7 30.6902 34.1002 34.0175
920000 35453.7 30.6292 34.0964 33.974
930000 35664.8 30.7036 34.1051 34.076
940000 35560.5 30.6617 34.1012 34.0338
950000 35590.6 30.6829 34.0951 34.0437
960000 35542.8 30.6654 34.099 34.0165
970000 35598 30.6608 34.085 34.0863
980000 35508.2 30.6389 34.0807 34.0312
990000 35489.7 30.66 34.0968 33.9737
1000000 35625 30.678 34.1024 34.0728
