# Time-averaged data for fix 5
# TimeStep v_V v_a v_b v_c
10000 35099.2 30.5619 34.1581 33.6625
20000 35112.6 30.5545 34.1674 33.6743
30000 35114.7 30.5769 34.1624 33.655
40000 35098.4 30.5621 34.1617 33.657
50000 35115.2 30.5773 34.1516 33.6656
60000 35077.9 30.549 34.1589 33.6563
70000 35121.9 30.5709 34.1586 33.6727
80000 35094.4 30.5451 34.1618 33.6745
90000 35108.6 30.5739 34.1722 33.6436
100000 35075.8 30.557 34.1662 33.6385
110000 35117.8 30.5675 34.1613 33.6687
120000 35119.5 30.5711 34.1627 33.6654
130000 35131 30.5938 34.1641 33.6492
140000 35106.8 30.5715 34.1648 33.6517
150000 35079.9 30.5577 34.1621 33.6461
160000 35140.2 30.5866 34.1656 33.6641
170000 35142 30.5636 34.1547 33.7023
180000 35075.3 30.5621 34.157 33.641
190000 35118.5 30.581 34.1686 33.6473
200000 35140 30.5809 34.1682 33.6686
210000 35149.2 30.5677 34.1681 33.6911
220000 35168.5 30.5813 34.1583 33.7042
230000 35095.7 30.5356 34.1733 33.6758
240000 35070 30.541 34.1705 33.6484
250000 35082.4 30.5578 34.1718 33.64
260000 35011 30.5184 34.1754 33.617
270000 35092 30.5682 34.168 33.6393
280000 35079.4 30.5762 34.1703 33.6165
290000 35108.8 30.5605 34.1599 33.6712
300000 35155.7 30.5748 34.1596 33.6977
310000 35136.5 30.5632 34.1532 33.6993
320000 35147.1 30.5523 34.157 33.7179
330000 35106.6 30.5734 34.1746 33.6394
340000 35087.6 30.5371 34.1661 33.6723
350000 35100 30.5609 34.1745 33.6472
360000 35095.9 30.5612 34.1655 33.6523
370000 35105.9 30.5574 34.1541 33.6771
380000 35093.1 30.574 34.1653 33.6353
390000 35100 30.5595 34.1584 33.6648
400000 35067 30.5414 34.1668 33.6484
410000 35114 30.5726 34.1738 33.6481
420000 35110.2 30.5553 34.1675 33.6718
430000 35133.2 30.5505 34.1692 33.6961
440000 35101 30.5526 34.1715 33.6629
450000 35089.7 30.55 34.1683 33.657
460000 35093.9 30.5729 34.1688 33.6347
470000 35075.4 30.566 34.1675 33.6269
480000 35078.4 30.5511 34.1665 33.6491
490000 35076.7 30.5442 34.1644 33.6569
500000 35092.3 30.5726 34.1742 33.6288
510000 35042.8 30.5419 34.1637 33.6294
520000 35057.9 30.5633 34.1621 33.6197
530000 35033.3 30.5581 34.1636 33.6024
540000 35079.5 30.559 34.1736 33.6323
550000 35094.3 30.5787 34.1671 33.6293
560000 35094.6 30.5649 34.1559 33.656
570000 35111.4 30.5635 34.1586 33.6707
580000 35124.2 30.5565 34.1599 33.6886
590000 35109.1 30.5728 34.1563 33.6603
600000 35122.5 30.5743 34.1614 33.6664
610000 35115.1 30.5526 34.1632 33.6825
620000 35150.3 30.5624 34.1712 33.6952
630000 35116.3 30.5791 34.159 33.6572
640000 35143.5 30.5539 34.1624 33.708
650000 35146.1 30.554 34.1695 33.7034
660000 35153.2 30.5751 34.1676 33.6883
670000 35152.8 30.5772 34.1598 33.6921
680000 35142.6 30.5724 34.161 33.6871
690000 35093.3 30.5593 34.1436 33.6743
700000 35106.9 30.5733 34.1632 33.6522
710000 35083.4 30.5494 34.1676 33.6536
720000 35137.6 30.564 34.169 33.6847
730000 35100.2 30.5552 34.1733 33.6567
740000 35068.8 30.5506 34.1715 33.6344
750000 35138.2 30.5609 34.1595 33.6978
760000 35133.9 30.5616 34.1682 33.6847
770000 35144.6 30.5764 34.1686 33.677
780000 35149.3 30.5588 34.1598 33.711
790000 35182.8 30.5876 34.1638 33.7043
800000 35130.1 30.5501 34.1686 33.6935
810000 35119.2 30.5583 34.1652 33.6773
820000 35101 30.565 34.1664 33.6516
830000 35101.9 30.5541 34.1578 33.6731
840000 35112.8 30.5919 34.1543 33.6437
850000 35118.4 30.5841 34.152 33.659
860000 35119.8 30.572 34.1662 33.662
870000 35105.7 30.5567 34.1672 33.6652
880000 35107.2 30.5581 34.1694 33.6628
890000 35117.6 30.5484 34.1689 33.6831
900000 35079.7 30.5569 34.167 33.641
910000 35105.7 30.573 34.1691 33.6443
920000 35102.4 30.5604 34.1548 33.6718
930000 35106.5 30.5649 34.1567 33.6658
940000 35112.3 30.5768 34.1559 33.6591
950000 35130.1 30.576 34.1457 33.6885
960000 35125.2 30.5635 34.1539 33.6911
970000 35097.5 30.5772 34.1562 33.6462
980000 35114.3 30.5498 34.1565 33.6923
990000 35127.1 30.5677 34.1659 33.6735
1000000 35158 30.5739 34.1523 33.7075
